'ge'li'qu'she'zhi 隔离区设置
'shi'chang'chang'xiao 市场畅销
'you'hua'nong'ye'jie'gou 优化农业结构
'ma'ling'shu 马铃薯
'jian'cheng'tou'chan 建成投产
'you'shi'chan'ye'dai 优势产业带
'jia'gong'bao'xian'zhu'yun'shu'cai 加工保鲜贮运蔬菜
'xin'pin'zhong'yin'jin'tui'guang 新品种引进推广
'ke'ben'fei 课本费
'fei'fa'jing'ying 非法经营
'fang'hu'lin 防护林
'shi'shi'chan'ye'fu'min'zhan'lue 实施产业富民战略
'nong'zi'zong'he'zhi'bu'zi'jin 农资综合直补资金
'zong'ti'si'lu 总体思路
'gong'zuo'mu'biao 工作目标
'yi'chi'san'gai 一池三改
'nong'ye'jie'gou 农业结构
'fang'zai'kang'zai'neng'li 防灾抗灾能力
'jie'shui'xing'she'hui'jian'she 节水型社会建设
'fu'she'dai'dong'neng'li 辐射带动能力
'quan'mian'luo'shi'zhi'nong'hui'nong'zheng'ce 全面落实支农惠农政策
'qiang'hua'ling'dao 强化领导
'zhu'su'sheng 住宿生
'you'shi'nong'chan'pin 优势农产品
'ke'ji'zi'xun'fu'wu 科技咨询服务
'ke'ji'fu'wu 科技服务
'liang'jing'si'bi'li 粮经饲比例
'yang'shu'zhu'gan'tian'niu 杨树蛀干天牛
'xiang'zhen'qi'ye'zeng'jia'zhi 乡镇企业增加值
'zhi'qu 支渠
'pei'yu'zhuang'da'te'se'chan'ye 培育壮大特色产业
'she'hui'hua'fu'wu'ti'xi 社会化服务体系
'cun'zai'de'wen'ti 存在的问题
'yin'dao'xing'pei'xun 引导性培训
'er'ba'nian 二八年
'lao'wu'shou'ru 劳务收入
'ke'ji'jiang'zuo 科技讲座
'shui'piao'zhi 水票制
'hua'yan'shi 化验室
'tui'jin'xin'nong'cun'jian'she 推进新农村建设
'dong'wu'jian'yi 动物检疫
'chou'cuo'zi'jin 筹措资金
'nong'ye'sheng'chan 农业生产
'nong'min'zhuan'ye'he'zuo'jing'ji'zu'zhi 农民专业合作经济组织
'you'zhi'xiao'mai 优质小麦
'zu'zhi'hua 组织化
'zheng'ce'cuo'shi 政策措施
'gui'mo'yang'zhi'hu 规模养殖户
'nong'ye'zong'he'kai'fa 农业综合开发
'ke'ji'te'pai'yuan 科技特派员
'xuan'chuan'cai'liao 宣传材料
'yang'zhi'ji'di 养殖基地
'xian'dai'nong'ye'fa'zhan 现代农业发展
'mu'chu'shu'liang 母畜数量
'xue'xiao'shi'sheng 学校师生
'chan'ye'ji'di 产业基地
'zhi'jia'shou'jia 制假售假
'fang'yi'ren'yuan 防疫人员
'shui'li'ji'chu'she'shi 水利基础设施
'nong'min'shou'ru 农民收入
'nong'zi'shi'chang'zheng'zhi 农资市场整治
'shui'guan'ti'zhi'gai'ge 水管体制改革
'lao'wu'yong'gong 劳务用工
'nong'ye'zeng'jia'zhi 农业增加值
'zao'lin'lv'hua 造林绿化
'nong'cun'jing'ji'she'hui'fa'zhan 农村经济社会发展
'nong'min'qun'zhong 农民群众
'xin'ji'shu'ying'yong 新技术应用
'jin'nian'yi'lai 今年以来
'shi'chang'tiao'jie 市场调节
'zhuan'bian'nong'ye'zeng'zhang'fang'shi 转变农业增长方式
'tong'lan'gong'zuo'quan'ju 统揽工作全局
'ke'xue'fa'zhan'guan 科学发展观
'liang'shi'mian'ji 粮食面积
'dai'kuan'tie'xi'zi'jin 贷款贴息资金
'wu'gong'hai'nong'chan'pin 无公害农产品
'ji'chu'she'shi'jian'she 基础设施建设
'zeng'qiang'hou'jin 增强后劲
'jian'ce 检测
﻿'an'quan'yin'shui 安全饮水
'xue'za'fei 学杂费
'pin'zhong'you'liang 品种优良
'yang'zhi'xiao'yi 养殖效益
'mian'yi'mi'du 免疫密度
'zong'jie 总结
'jing'xin'zu'zhi 精心组织
'xu'chan'pin 畜产品
'gan'bu'zhi'gong 干部职工
'fan'ji'jie'shu'cai 反季节蔬菜
'jin'yi'bu'you'hua 进一步优化
'san'bei 三北
'quan'qu'shang'xia 全区上下
'zheng'ti'jin'du 整体进度
'shi'chang'zhun'ru 市场准入
'ding'dan'shi 订单式
'yu'mi'zhi'zhong 玉米制种
'zeng'qiang'fa'zhan'hou'jin 增强发展后劲
'gong'zuo'zhong'dian 工作重点
'jia'da'zhi'nong'li'du 加大支农力度
'gong'zuo'ji'hua 工作计划
'she'hui'hua'fu'wu'ti'xi'jian'she 社会化服务体系建设
'tu'di'zhi'li 土地治理
'fa'zhan'xian'dai'nong'ye 发展现代农业
'zhi'fa'jian'cha 执法检查
'ren'gong'zao'lin 人工造林
'xin'cheng'yi 新城疫
'jie'shui'gai'zao'xiang'mu 节水改造项目
'shi'hang'dai'kuan 世行贷款
'nong'min'li'yi 农民利益
'ren'zhen'guan'che'luo'shi 认真贯彻落实
'zu'pei'shi 组培室
'da'zhong'xiao'bing'ju 大中小并举
'luo'shi'ze'ren 落实责任
'xiao'du'mie'yuan 消毒灭源
'fa'hui'xiao'yi 发挥效益
'nong'cun'gong'zuo'hui'yi 农村工作会议
'ceng'ceng'shai'xuan 层层筛选
'wai'chu'wu'gong 外出务工
'sheng'chan'ji'di 生产基地
'lao'wu'ji'di 劳务基地
'pin'kun'xue'sheng 贫困学生
'qiao'guan'cao'bing'mao 乔灌草并茂
'bu'men'bang'fu 部门帮扶
'zhi'nong'hui'nong'zheng'ce 支农惠农政策
'nong'ye'he'nong'cun'jing'ji 农业和农村经济
'yang'zhi'da'hu 养殖大户
'ding'dan'nong'ye 订单农业
'yi'wu'jiao'yu'jie'duan 义务教育阶段
'gong'ye'zeng'jia'zhi 工业增加值
'guang'fan'fa'dong 广泛发动
'nong'ye'jing'ji'xin'xi 农业经济信息
'tiao'zheng'you'hua 调整优化
'neng'fan'mu'chu 能繁母畜
'gong'zuo'zhi'hou 工作滞后
'ban'gong'shi 办公室
'zhi'chi'nong'ye'fa'zhan 支持农业发展
'dong'wu'fang'yi 动物防疫
'biao'zhi'lv 标识率
'nong'chan'pin'jia'gong'qi'ye 农产品加工企业
'gui'mo'xiao 规模小
'qu'dao'kai'wa 渠道开挖
'she'shi'nong'ye 设施农业
'ma'ling'shu'quan'fen 马铃薯全粉
'pin'zhong'yang 品种羊
'gou'zhu'nong'min'zeng'shou'chang'xiao'ji'zhi 构筑农民增收长效机制
'zhua'hao'nong'ye'he'nong'cun'gong'zuo 抓好农业和农村工作
'nong'cun'zhao'qi 农村沼气
'chu'qin'si'yang'liang 畜禽饲养量
'lao'wu'shu'chu 劳务输出
'chi'xu'zeng'jia 持续增加
'fu'pin'bang'kun 扶贫帮困
'zhi'zhong 制种
'zhong'di'chan'tian'gai'zao 中低产田改造
'shui'li'gong'cheng'jian'she 水利工程建设
'cao'chu 草畜
'nong'chan'pin'jia'gong'zeng'zhi 农产品加工增值
'biao'zhun'hua'sheng'chan 标准化生产
'xiao'kang'zhu'zhai'jian'she 小康住宅建设
'nong'ji'ju'gou'zhi'bu'tie 农机具购置补贴
'she'shi'shu'cai 设施蔬菜
'nong'min'zeng'shou 农民增收
'qi'ye'zi'zhu'chuang'xin 企业自主创新
'bu'zhi'bu'zao 补植补造
'zhen'zhua'shi'gan 真抓实干
'nong'ye'xiang'mu 农业项目
'sheng'chan'she'shi 生产设施
'jian'li'jian'quan 建立健全
'jing'pin'zhi'zhong 精品制种
'lin'mu'bing'chong'hai 林木病虫害
'zhong'shu'fan'yu 种薯繁育
'yu'miao 育苗
'liang'tiao'tui 两条腿
'cuo'shi'bu'de'li 措施不得力
'nong'zuo'wu'xin'pin'zhong 农作物新品种
'tong'chou'tui'jin'nong'cun'ge'xiang'shi'ye 统筹推进农村各项事业
'shi'dian'cun 试点村
'chu'qin'yang'zhi'zong'liang 畜禽养殖总量
'nong'zuo'wu'zhi'zhong 农作物制种
'chu'zhong'jie'gou 畜种结构
'nong'cun'she'hui'shi'ye 农村社会事业
'nong'ye'fa'zhan 农业发展
'ren'ju'huan'jing 人居环境
'shui'li'ji'chu'she'shi'jian'she 水利基础设施建设
'zhuan'xiang'zi'jin 专项资金
'ji'jie'xing'shu'cai 季节性蔬菜
'chan'ye'hua 产业化
'guan'qu'gai'zao 灌区改造
'gai'shan'sheng'huo'tiao'jian 改善生活条件
'tiao'zheng'you'hua'zhong'zhi'jie'gou 调整优化种植结构
'fa'zhan'tai'shi 发展态势
'nong'ye'chan'ye'hua'long'tou'qi'ye 农业产业化龙头企业
'xing'qu 型渠
'tian'cai 甜菜
'feng'tan'yu'lin 封滩育林
'yang'zhi'xiao'qu 养殖小区
'guo'jia'tou'zi'xiang'mu 国家投资项目
'pu'tao 葡萄
'wei'pei'shi 委培式
'qing'zhu'jiao 青贮窖
'zhu'dao'chan'ye 主导产业
'hong'zao 红枣
'quan'mian'luo'shi 全面落实
'yang'zhi'shi'fan'dian 养殖示范点
'ji'shu'gai'zao 技术改造
'duo'qu'dao 多渠道
'xiao'yi'tu'chu 效益突出
'jia'gong'xing'yu'mi 加工型玉米
'hang'shi'nong'ye'ji'chu 夯实农业基础
'ri'guang'wen'shi 日光温室
'nong'min'yong'shui'zhe'xie'hui 农民用水者协会
'ke'ji'pei'xun 科技培训
'di'fang'cai'zheng'fu'chi 地方财政扶持
'nong'cun'yin'shui'an'quan 农村饮水安全
'zheng'ce'yin'dao 政策引导
'xiang'jie'he 相结合
'xiang'zhen'qi'ye'gong'ye'zeng'jia'zhi 乡镇企业工业增加值
'hua'hui 花卉
'lao'wu'shu'zhuan 劳务输转
'qie'shi'jia'da'nong'ye'tou'ru 切实加大农业投入
'jin'zhan'qing'kuang 进展情况
'zhong'yang'hao'wen'jian'jing'shen 中央号文件精神
'jie'dui'bang'fu 结对帮扶
'mian'fen'jia'gong 面粉加工
'zhi'zhong'chan'ye 制种产业
'liu'tong'fu'wu 流通服务
'zhong'da'dong'wu'yi'qing 重大动物疫情
'qu'de'shi'xiao 取得实效
'jian'ce'dian 监测点
'pi'jiu'da'mai 啤酒大麦
'nong'ye'xin'ji'shu 农业新技术
'zeng'jia'nong'min'shou'ru 增加农民收入
'nong'ye'ke'ji'shi'fan'dian 农业科技示范点
'lao'dong'li'shi'chang 劳动力市场
'jin'zhan'huan'man 进展缓慢
'jian'yi 检疫
'ke'pu'tu'shu 科普图书
'zi'zhi'shen'cha 资质审查
'zhao'shang'yin'zi 招商引资
'nong'min'jing'ji'ren 农民经纪人
'wu'gong'hai'sheng'chan 无公害生产
'er'qi'nian 二七年
'quan'li'yi'fu 全力以赴
'san'xia'xiang 三下乡
'qing'gong'yuan'liao'ji'di 轻工原料基地
'zhi'zhong'mian'ji 制种面积
'tian'jian'di'tou 田间地头
'liang'mian'yi'bu 两免一补
'jia'gong'fan'qie 加工番茄
'qing'gong'yuan'liao 轻工原料
'cheng'jian'zhi 成建制
'nong'cun'zhong'xiao'xue 农村中小学
'nong'ye'chan'ye'hua'jing'ying 农业产业化经营
'yun'xiao'da'hu 运销大户
'cang'ku 仓库
'ji'neng'pei'xun 技能培训
'shu'cai'ji'di 蔬菜基地
'xin'nong'cun'jian'she 新农村建设
'ling'dao'gua'xiang 领导挂项
'zhi'shu'zao'lin 植树造林
'zu'zhi'shi'shi 组织实施
'nong'cun'ju'min'xian'jin'shou'ru 农村居民现金收入
'nong'min'ren'jun'chun'shou'ru 农民人均纯收入
'tian'jian'pei'tao 田间配套
'chu'qin'fang'yi'ti'xi 畜禽防疫体系
'shu'cai 蔬菜
'xia'da'li'qi 下大力气
'ke'ji'zi'xun 科技咨询
'cheng'xiang'lao'dong'li 城乡劳动力
'sheng'tai'gong'cheng 生态工程
'sheng'chan'yi'xian 生产一线
'zi'xin'ping'gu 资信评估
'nong'ye'he'nong'cun'jing'ji'gong'zuo 农业和农村经济工作
'nong'min'pei'xun 农民培训
'xu'mu'ye'sheng'chan 畜牧业生产
'gou'ji'nong'hu 购机农户
'dai'dong'neng'li 带动能力
'jia'da'xuan'chuan 加大宣传
'you'liao 油料
'nong'zi'jia'ge 农资价格
'ke'pu'zhi'dong 科普之冬
'tuo'shui'shu'cai 脱水蔬菜
'zhong'yao'tu'jing 重要途径
'nong'chan'pin'jia'gong'zhuan'hua'neng'li 农产品加工转化能力
'ying'xiao'dian 营销点
'bu'duan'wan'shan'ji'chu'she'shi 不断完善基础设施
'nong'ye'ke'ji'xin'xi'wang 农业科技信息网
'yan'li'cha'chu 严厉查处
'xiang'mu'jian'she 项目建设
'bao'xian'zhu'yun'shu'cai 保鲜贮运蔬菜
'he'xin 核心
'zhuan'ye'xie'hui 专业协会
'te'se'you'shi'chan'ye 特色优势产业
'xin'ji'ju 新机具
'xin'xi'fu'wu 信息服务
'shi'chang'jing'zheng'li'qiang 市场竞争力强
'yi'wu'jiao'yu 义务教育
'long'tou'qi'ye'jian'she 龙头企业建设
'nong'tian'lin'wang 农田林网
'liang'shi'zhi'bu'zi'jin 粮食直补资金
'mu'cao'ji'di 牧草基地
'bu'duan'hang'shi 不断夯实
'tui'geng'huan'lin 退耕还林
'gen'ju'nong'ye'bu 根据农业部
'dao'jiao'qing 稻脚青
'liu'qing 硫氰
'rou'ji'she 肉鸡舍
'shui'dao'ming'chong 水稻螟虫
'ju'he'wu 聚合物
'shui'guo'zhong'zhi'mian'ji 水果种植面积
'shi'wen'ling 虱纹灵
'si'liao'tian'jia'ji 饲料添加剂
'da'dou 大豆
'bao'lv'su 保绿素
'da'tian'long 大田隆
'zan'xing'gui'ding 暂行规定
'meng'lian 孟连
'nong'ye'chan'ye'hua'sheng'chan 农业产业化生产
'yi'cun 一村
'ri'ji'bu 日记簿
'pu'tao'you 葡萄柚
'yi'liang 彝良
'ke'ling'da 可灵达
'dian'liu'lin 碘硫磷
'ben'sheng'deng 本生灯
'biao'nong 骠农
'shi'ban'bing 时斑病
'tu'di'zi'ben 土地资本
'bing'chen 丙辰
'hui'yi'qi'jian 会议期间
'ban'xu'chun 斑须蝽
'jie'shui'xing'she'hui'jian'she 节水型社会建设
'yi'xing'ci 异形词
'gao'can'liu 高残留
'cai'zheng'zeng'zhang 财政增长
'qing'liu'suan 氢硫酸
'hua'guang'xing 花光兴
'liang'shi'chan'liang 粮食产量
'xun'su'cheng'li 迅速成立
'deng'xin'cao 灯心草
'wei'xi 维西
'yin'du'e 印度鳄
'biao'zhong 表中
'ji'rou 鸡肉
'ruan'ci'pan 软磁盘
'wan'mu'you'zhi'gu'sheng'chan'ji'di 万亩优质谷生产基地
'mie'you'zuo 灭幼唑
'shou'wen'fu'ze'zhi 首问负责制
'jian'si'mao'yi'you'xian'gong'si 茧丝贸易有限公司
'fan'wei 范围
'qing'zheng'lian'jie 清正廉洁
'zhu'lie 柱列
'jie'cai'lei'shu'cai 芥菜类蔬菜
'guo'hu 过户
'jin'huo'jia'ge 进货价格
'ku'sheng'su 苦生素
'huan'shi'fei'liao 缓释肥料
'tuo'yang 脱氧
'dao'cun 到村
'cha'dong'ku'bing 茶胴枯病
'da'sheng'chu 大牲畜
'liang'ji'ma 亮蓟马
'qi'ta'liang'shi'zuo'wu 其它粮食作物
'ying'wu 鹦鹉
'jian'zhu'kai'gong 建筑开工
'chang'chun'hua 长春花
'song'ni 送你
'dang'yuan 党员
'zong'kuo 总括
'wei'jian'xing 微碱性
'zhong'gou 中沟
'e'cao'ling 噁草灵
'te'se'liang'you'jing'ji'zuo'wu'shi'fan'xiang'mu 特色粮油经济作物示范项目
'cheng'gong'zhao'kai 成功召开
'shi'fan'xiang 示范乡
'fu'he'fei'liao 复合肥料
'zai'chuang 再创
'jin'shu'guan 金属罐
'dao'shi 道是
'shi'hui'yan 石灰岩
'ren'jun 人均
'ban'nai'han'shu'cai 半耐寒蔬菜
'hun'he'an'ji'suan'meng 混合氨基酸锰
'mi'du'fen'ge 密度分割
'cheng'zhan'gao'su'gong'lu 成湛高速公路
'han'di'mian'ji 旱地面积
'xi'niu 犀牛
'zhi'neng'gong'zuo 职能工作
'fu'she'min'gan'xing 辐射敏感性
'ding'sai'long 丁噻隆
'duo'da 朵大
'ji'ji'zuo'hao 积极做好
'ling'shou'shi'chang'xiao'fei'pin'gong'xu'cha'e 零售市场消费品供需差额
'shang'gu'yun'ji 商贾云集
'jin'yin'hua 金银花
'lei'tai'fei 蕾苔肥
'she'hui'lao'dong'zhe'gou'cheng 社会劳动者构成
'yan'zhong 严重
'chu'li'bu'jian 处理部件
'da'sui 大穗
'jin'shu'tuo'pan 金属托盘
'nong'ye'ji'shu'tui'guang'zhong'xin 农业技术推广中心
'sheng'wu'fan'ying'qi 生物反应器
'zhu'xiao'ji'yin'kang'bing'xing 主效基因抗病性
'su'she 宿舍
'tiao'shui 挑水
'nong'ye'bu'wu'gong'hai'nong'chan'pin'ren'zheng 农业部无公害农产品认证
'yao'wu'zhi'ji 药物制剂
'dou'wei 豆维
'yi'mei'jun 疫霉菌
'shou'fei'gong'shi'lv 收费公示率
'tan'lv'ling 碳氯灵
'xue'xi'pei'xun'ban 学习培训班
'ka'qi'se 卡其色
'nai'mi'xing 耐密型
'qing'cao'jing 氰草净
'sheng'li'bing'hai 生理病害
'ge'xing'zheng'gu 各行政股
'wa'gou 挖沟
'xiao'hua'gui'zhen'cao 小花鬼针草
'lv'ji 律己
'zhu'cang'qi 贮藏期
'huo'dong 活动
'dang'feng'lian'zheng'jian'she'mu'biao'guan'li'ze'ren'zhuang 党风廉政建设目标管理责任状
'dai'shu 代数
'ren'kou'zong'shu 人口总数
'you'xiao'jiang'shui'liang 有效降水量
'cai'yuan 菜园
'zi'zhi'qu'tu'fei'zhan 自治区土肥站
'gan'lan'xing 甘蓝型
'dao'chao'ming 稻巢螟
'tu'di'yong'you'zhe 土地拥有者
'gong'zi'dan 工资单
'sheng'chan'zhe 生产者
'hong'he 红河
'ti'gong'le 提供了
'gua'jie 挂接
'yi'shu 移数
'zheng'zai'shen'bao 正在申报
'jian'zhu'ji'xie'she'bei'shi'you'neng'li 建筑机械设备实有能力
'yi'pi'xiang'mu 一批项目
'qiang'wei 蔷薇
'di'xia'tong'dao 地下通道
'jia'fu'xian'an 甲呋酰胺
'ke'guan'gong'zheng 客观公正
'ba'rong'ba'chi 八荣八耻
'ke'duo'tong'zhong'yi'ji 克多酮种衣剂
'zheng'que'de 正确的
'nian'chan'liang 年产量
'ma'xian 马现
'ke'duo'wu 克多五
'fen'niao 粪尿
'fen'gong'ming'que 分工明确
'dang'jian'gong'zuo 党建工作
'mie'jun'zuo 灭菌唑
'chang'huan'ri 偿还日
'dian'qi'xi'tong 电气系统
'jie'ya 接芽
'mei'shi'jin 每市斤
'fei'shi 飞虱
'she'hui'xue 社会学
'tian'jiao 甜椒
'fan'ji 反季
'jin'yi'bu'you'hua 进一步优化
'te'shu'qing'kuang 特殊情况
'he'zuo'zhe 合作者
'huo'ba'jie 火把节
'yan'mai'ku 燕麦枯
'yi'ban'lin 异拌磷
'bai'ming 白螟
'zhi'gong 职工
'quan'mian'shi'shi 全面实施
'ci'er'cai 刺儿菜
'qu'diao'yan'cai'liao 区调研材料
'fan'zhi'xian 反枝苋
'hua'hei'fen'bing 花黑粉病
'wo'xian'nong'ye'fa'zhan'shi'shang'zhong'yao'de'zhuan'zhe'dian 我县农业发展史上重要的转折点
'tian'qi'yu'bao 天气预报
'tian'he'ji'ma 田禾蓟马
