'a'er'tai'gou'wa'hua 阿尔泰狗哇花
'a'fo'mei'jun'su 阿佛霉菌素
'a'luo'jin 阿罗津
'a'pu'long 阿普隆
'a'rui'sheng 阿锐生
'a'su'miao 阿苏妙
'a'te'la'jin 阿特拉津
'a'wei'jun'su 阿维菌素
'a'yue'hun'zi 阿月浑子
'ai'bai'fen'bing 艾白粉病
'ai'bi'jun'su 爱比菌素
'ai'chu 艾锄
'ai'dao'dou 矮刀豆
'ai'fen'jie 皑粉蚧
'ai'fu'ding 爱福丁
'ai'gan 矮秆
'ai'gan'zuo'wu 矮秆作物
'ai'gang'jing'ye 爱岗敬业
'ai'ge 艾割
'ai'hua 矮化
'ai'hua'ye'bing 矮花叶病
'ai'hua'ye'bing'du'bing 矮花叶病毒病
'ai'hua'zai'pei 矮化栽培
'ai'hua'zhen 矮化砧
'ai'jian'su 矮健素
'ai'ka'shi 爱卡士
'ai'ma 矮马
'ai'nuo'ming'xing 爱诺明星
'ai'nuo'rui'ding 爱诺瑞丁
'ai'shi'ji 艾氏剂
'ai'suo'bing 矮缩病
'ai'xing'hei'sui'bing 矮腥黑穗病
'ai'xue'lun 矮雪轮
'ai'yue'san 爱乐散
'ai'zhong'bing 癌肿病
'ai'zhuang'su 矮壮素
'an'ben'huang'long 胺苯磺隆
'an'bing'wei 胺丙畏
'an'bu 暗部
'an'cao'zuo 胺草唑
'an'di'si 安底斯
'an'gan'mei'su 氨苷霉素
'an'guan 暗管
'an'guan'su'kong'li 暗管塑孔犁
'an'hong'se 暗红色
'an'hua 氨化
'an'hua'ni'tan 氨化泥炭
'an'huang'ling 安磺灵
'an'huang'tong 胺磺铜
'an'ji'gua'tang'su 氨基寡糖素
'an'ji'hua 按计划
'an'jian 安监
'an'jian 案件
'an'jian'ji'gong 按件记工
'an'jian'ju 安监局
'an'jiao 暗礁
'an'ju'zhi 胺菊酯
'an'kang'yu 安康鱼
'an'ke'li 安克力
'an'ke'meng'xin 安克锰锌
'an'le'yi 安乐椅
'an'lv'bao 安绿宝
'an'mie'ling 安灭灵
'an'ning 安宁
'an'pai 安排
'an'pai'che'liang 安排车辆
'an'pai'dao 安排到
'an'quan'dao 安全岛
'an'quan'jian'ce 安全检测
'an'quan'sheng'chan 安全生产
'an'quan'sheng'chan'jian'du'guan'li'ju 安全生产监督管理局
'an'quan'yin'shui 安全饮水
'an'sha'dan 安杀丹
'an'shi 按时
'an'shu 桉树
'an'shui 氨水
'an'tai'dan 铵态氮
'an'tai'dan'fei 铵态氮肥
'an'xiao'cao 胺硝草
'an'yao'qiu 按要求
'an'ye'su 桉叶素
'an'yu'xian'zhuang 安于现状
'an'zhao 按照
'an'zhi 案值
'an'zhong'ning 安种宁
'an'zhuang 安装
'an'zhuang'gong'cheng 安装工程
'ang'yang'xiang'shang 昂扬向上
'ao'dian 凹点
'ao'he'ji 螯合剂
'ao'yuan'ling'wen'ye'chan 凹缘菱纹叶蝉
'ba'ban 疤斑
'ba'chu'cai'chun 巴楚菜蝽
'ba'dan'xing 巴旦杏
'ba'deng'di 八等地
'ba'di 耙地
'ba'dian'bing 耙点病
'ba'dian'guang'chi'la'chan 八点广翅蜡蝉
'ba'dian'hui'deng'e 八点灰灯蛾
'ba'du'lin 巴毒磷
'ba'ge 八哥
'ba'gui'xian'feng'xing 八桂先锋行
'ba'jia'lin 八甲磷
'ba'jiao'yu 芭蕉芋
'ba'jie'fei 拔节肥
'ba'jie'qi 拔节期
'ba'lei'wu'xing 芭蕾舞星
'ba'man'ling 霸螨灵
'ba'ping 耙平
'ba'rong'ba'chi 八荣八耻
'ba'shu'ju'tian'ru 把数据填入
'ba'sui 耙碎
'ba'tang 坝塘
'ba'tian 耙田
'ba'wei'wei'zu 八位位组
'ba'wei'zi'jie 八位字节
'ba'wen'ti'jie'jue'dao'wei 把问题解决到位
'ba'wo 把握
'ba'xi'mu 巴西木
'ba'xi'xiang'jiao'shu 巴西橡胶树
'ba'xian'hua 八仙花
'ba'yi 八一
'bai'ban'bing 白斑病
'bai'bei'fei'shi 白背飞虱
'bai'bian'di'lao'hu 白边地老虎
'bai'bian'dou 白扁豆
'bai'cai 白菜
'bai'cai'lei'shu'cai 白菜类蔬菜
'bai'cai'xing'you'cai 白菜型油菜
'bai'cao 白草
'bai'cao 稗草
'bai'cao'an 稗草胺
'bai'cao'ke 百草克
'bai'cao'ku 百草枯
'bai'cao'wei 稗草畏
'bai'cha 白茶
'bai'chang'deng'e 白昌灯峨
'bai'chi'ye'chan 白翅叶蝉
'bai'di'mie 百敌灭
'bai'e'la'chan 白蛾蜡蝉
'bai'en'pei 白恩培
'bai'fang 摆放
'bai'fen'bing 白粉病
'bai'gan'bing 白秆病
'bai'he 百合
'bai'he'hua 百合花
'bai'hou 白喉
'bai'hou'que 白喉雀
'bai'hu'die 白蝴蝶
'bai'hua 白桦
'bai'hua'man'tuo'luo 白花曼陀罗
'bai'hua'miao 白化苗
'bai'huo'gong'si 百货公司
'bai'jiang'jun 白僵菌
'bai'jin'liang 百斤粮
'bai'jiu 白鸠
'bai'juan'bing 白绢病
'bai'jun'qing 百菌清
'bai'ke 白壳
'bai'ke'quan'shu 百科全书
'bai'lan'di 白兰地
'bai'lan'hua 白兰花
'bai'li 白梨
'bai'li'tong 百里通
'bai'li'xiang 百里香
'bai'li'zhong 百粒重
'bai'liao'ling 稗蓼灵
'bai'ling'gu 白灵菇
'bai'mai'nian'chong 白脉粘虫
'bai'mei'bing 白霉病
'bai'mi 白米
'bai'mi'fen'ji 白米分级
'bai'ming 白螟
'bai'ming'ke'ji'ren'yuan'jin'bai'cun 百名科技人员进百村
'bai'mu 百亩
'bai'nang'suo'e 白囊蓑蛾
'bai'niao 百鸟
'bai'pi 白皮
'bai'pi'dou 白皮豆
'bai'pi'song 白皮松
'bai'pu'tao'jiu 白葡萄酒
'bai'qian'wan 百千万
'bai'qu'mei'bing 白曲霉病
'bai'ri'ke 百日咳
'bai'se 白色
'bai'sha 白沙
'bai'sha'qing 稗莎清
'bai'shi 白虱
'bai'shu 柏树
'bai'shu'de 百树得
'bai'shu'ju'zhi 百树菊酯
'bai'tai'si 拜太斯
'bai'tan 百坦
'bai'tou'weng 白头翁
