'ao'yuan'ling'wen'ye'chan 凹缘菱纹叶蝉
'ba'dian'guang'chi'la'chan 八点广翅蜡蝉
'ba'dian'hui'deng'e 八点灰灯蛾
'bai'e'la'chan 白蛾蜡蝉
'bai'fen'bing 白粉病
'bai'nang'suo'e 白囊蓑蛾
'ban'xu'chun 斑须蝽
'bi'e'la'chan 碧蛾蜡蝉
'bian'ci'e 扁刺蛾
'bo'qiu'wo'niu 薄球蜗牛
'cao'di'ming 草地螟
'ce'duo'shi'fu'xian'man 侧多食跗线螨
'ce'duo'shi'fu'xian'man 侧多食附线螨
'cha'bai'du'e 茶白毒蛾
'cha'bai'xing'bing 茶白星病
'cha'ban'e 茶斑蛾
'cha'bing'bing 茶饼病
'cha'cai'xiao'du 茶材小蠹
'cha'can 茶蚕
'cha'chang'juan'ye'e 茶长卷叶蛾
'cha'cheng'ying'man 茶橙瘿螨
'cha'chi'huo 茶尺蠖
'cha'chi'ye'ban'bing 茶赤叶斑病
'cha'dong'ku'bing 茶胴枯病
'cha'duan'xu'man 茶短须螨
'cha'er'cha'ya 茶二叉蚜
'cha'fa'mao'bing 茶发毛病
'cha'gao'yao'bing 茶膏药病
'cha'gen'ai'bing 茶根癌病
'cha'gun'ji'ma 茶棍蓟马
'cha'he'se'ye'ban'bing 茶褐色叶斑病
'cha'he'suo'e 茶褐蓑蛾
'cha'hei'du'e 茶黑毒蛾
'cha'hong'gen'fu'bing 茶红根腐病
'cha'hong'jing'tian'niu 茶红颈天牛
'cha'hong'man 茶红螨
'cha'hong'xiu'zao'bing 茶红锈藻病
'cha'huang'ji'ma 茶黄蓟马
'cha'huang'ying'ji'ma 茶黄硬蓟马
'cha'jiao'mang'chun 茶角盲蝽
'cha'jiao'xiong'ye'jia 茶角胸叶甲
'cha'juan'ye'e 茶卷叶蛾
'cha'li'jie 茶梨蚧
'cha'li'wen'xiang'jia 茶丽纹象甲
'cha'lun'ban'bing 茶轮斑病
'cha'mao'chong 茶毛虫
'cha'mei'bing 茶煤病
'cha'miao'bai'juan'bing 茶苗白绢病
'cha'miao'gen'jie'xian'chong'bing 茶苗根结线虫病
'cha'mu'li'jie 茶牡蛎蚧
'cha'shu'tai'xian'di'yi 茶树苔藓地衣
'cha'suo'e 茶蓑蛾
'cha'tan'ju'bing 茶炭疽病
'cha'tian'niu 茶天牛
'cha'tu'si'zi 茶菟丝子
'cha'wang'bing'bing 茶网饼病
'cha'wang'chun 茶网蝽
'cha'xi'e 茶细蛾
'cha'xian'fu'bing 茶线腐病
'cha'xiao'juan'ye'e 茶小卷叶蛾
'cha'ya'ku'bing 茶芽枯病
'cha'ya'ying'wen 茶芽瘿蚊
'cha'ye'ying'man 茶叶瘿螨
'cha'yin'chi'huo 茶银尺蠖
'cha'yuan'chi'xing'bing 茶圆赤星病
'cha'yun'wen'ye'ku'bing 茶云纹叶枯病
'cha'zao'ban'bing 茶藻斑病
'cha'zhi'hei'zhi'bing 茶枝黑痣病
'cha'zhi'lian'e 茶枝镰蛾
'cha'zhi'shao'hei'dian'bing 茶枝梢黑点病
'cha'zi'wen'yu'bing 茶紫纹羽病
'chang'bai'jie 长白蚧
'chang'e'fu'huang 长额负蝗
'chi'xu'mang'chun 赤须盲蝽
'chui'mian'jie 吹绵蚧
'chun'chi'huo 春尺蠖
'cui'wen'jin'gang'zuan 翠纹金刚钻
'da'hui'xiang'jia 大灰象甲
'da'ma'bai'ban'bing 大麻白斑病
'da'ma'bai'xing'bing 大麻白星病
'da'ma'mei'ban'bing 大麻霉斑病
'da'ma'shuang'mei'bing 大麻霜霉病
'da'ma'tiao'jia 大麻跳甲
