'a'er'tai'gou'wa'hua 阿尔泰狗哇花
'a'wei'jun'su 阿维菌素
'ai'bai'fen'bing 艾白粉病
'ai'dao'dou 矮刀豆
'ai'fen'jie 皑粉蚧
'ai'gan 矮秆
'ai'gan'zuo'wu 矮秆作物
'ai'gang'jing'ye 爱岗敬业
'ai'hua 矮化
'ai'hua'ye'bing 矮花叶病
'ai'hua'ye'bing'du'bing 矮花叶病毒病
'ai'hua'zai'pei 矮化栽培
'ai'ma 矮马
'ai'suo'bing 矮缩病
'ai'xing'hei'sui'bing 矮腥黑穗病
'ai'zhong'bing 癌肿病
'ai'zhuang'su 矮壮素
'an'bu 暗部
'an'di'si 安底斯
'an'guan 暗管
'an'hong'se 暗红色
'an'hua 氨化
'an'jian'ju 安监局
'an'jiao 暗礁
'an'kang'yu 安康鱼
'an'ke'meng'xin 安克锰锌
'an'le'yi 安乐椅
'an'ning 安宁
'an'ning'shi 安宁市
'an'quan'dao 安全岛
'an'quan'sheng'chan'jian'du'guan'li'ju 安全生产监督管理局
'an'shu 桉树
'an'shui 氨水
'an'tai'dan 铵态氮
'an'tai'dan'fei 铵态氮肥
'an'yao'qiu 按要求
'ang'yang'xiang'shang 昂扬向上
'ao'dian 凹点
'ao'he'ji 螯合剂
'ao'yuan'ling'wen'ye'chan 凹缘菱纹叶蝉
'ba'ban 疤斑
'ba'chu'cai'chun 巴楚菜蝽
'ba'dan'xing 巴旦杏
'ba'di 耙地
'ba'dian'bing 耙点病
'ba'dian'guang'chi'la'chan 八点广翅蜡蝉
'ba'dian'hui'deng'e 八点灰灯蛾
'ba'ge 八哥
'ba'jiao'yu 芭蕉芋
'ba'jie'fei 拔节肥
'ba'jie'qi 拔节期
'ba'lei'wu'xing 芭蕾舞星
'ba'ping 耙平
'ba'rong'ba'chi 八荣八耻
'ba'sui 耙碎
'ba'tang 坝塘
'ba'tian 耙田
'ba'wei'wei'zu 八位位组
'ba'wei'zi'jie 八位字节
'ba'xi'mu 巴西木
'ba'xian'hua 八仙花
'ba'yi 八一
'bai'ban'bing 白斑病
'bai'bei'fei'shi 白背飞虱
'bai'bian'di'lao'hu 白边地老虎
'bai'bian'dou 白扁豆
'bai'cai 白菜
'bai'cai'lei'shu'cai 白菜类蔬菜
'bai'cai'xing'you'cai 白菜型油菜
'bai'cao 白草
'bai'cao 稗草
'bai'chang'deng'e 白昌灯峨
'bai'chi'ye'chan 白翅叶蝉
'bai'e'la'chan 白蛾蜡蝉
'bai'en'pei 白恩培
'bai'fang 摆放
'bai'fen'bing 白粉病
'bai'gan'bing 白秆病
'bai'he 百合
'bai'he'hua 百合花
'bai'hou 白喉
'bai'hou'que 白喉雀
'bai'hu'die 白蝴蝶
'bai'hua 白桦
'bai'hua'man'tuo'luo 白花曼陀罗
'bai'hua'miao 白化苗
'bai'huo'gong'si 百货公司
