'a'ke'tai 阿克泰
'a'wei 阿维
'a'wei'jun'su 阿维菌素
'ai'shi'ji 艾氏剂
'an'ben'huang'long 胺苯磺隆
'an'gan'mei'su 氨苷霉素
'an'hui'chang'shan'ri'yong'hua'gong'you'xian'gong'si 安徽昌山日用化工有限公司
'an'hui'chun'hui'zhi'wu'nong'yao'chang 安徽春辉植物农药厂
'an'hui'de'feng'nong'hua'you'xian'gong'si 安徽得丰农化有限公司
'an'hui'di'bang'yao'ye'you'xian'gong'si 安徽迪邦药业有限公司
'an'hui'dong'sheng'zhi'yao'you'xian'gong'si 安徽东盛制药有限公司
'an'hui'feng'le'nong'hua'you'xian'ze'ren'gong'si 安徽丰乐农化有限责任公司
'an'hui'feng'te'nong'hua'you'xian'gong'si 安徽丰特农化有限公司
'an'hui'fu'yang'kai'fa'qu'zhong'xiao'zhi'xiang'chang 安徽阜阳开发区忠孝制香厂
'an'hui'fu'yang'tian'fang'hua'gong'nong'yao'chang 安徽阜阳天方化工农药厂
'an'hui'guang'xin'nong'hua'ji'tuan'you'xian'gong'si 安徽广信农化集团有限公司
'an'hui'hai'cheng'sheng'wu'hua'xue'you'xian'gong'si 安徽海成生物化学有限公司
'an'hui'he'feng'nong'yao'chang 安徽禾丰农药厂
'an'hui'hua'xing'hua'gong'gu'fen'you'xian'gong'si 安徽华星化工股份有限公司
'an'hui'jia'ri'cheng'ji'shu'you'xian'gong'si 安徽嘉日成技术有限公司
'an'hui'jin'bang'hua'gong'gu'fen'you'xian'gong'si 安徽锦邦化工股份有限公司
'an'hui'jin'tai'nong'yao'hua'gong'you'xian'gong'si 安徽金泰农药化工有限公司
'an'hui'kang'da'hua'gong'you'xian'ze'ren'gong'si 安徽康达化工有限责任公司
'an'hui'kang'yu'sheng'wu'ke'ji'gong'cheng'you'xian'gong'si 安徽康宇生物科技工程有限公司
'an'hui'ke'li'hua'hua'gong'you'xian'gong'si 安徽科立华化工有限公司
'an'hui'ke'yuan'zhi'bao'gong'cheng'you'xian'ze'ren'gong'si 安徽科苑植保工程有限责任公司
'an'hui'mai'lan'sheng'wu'hua'xue'you'xian'gong'si 安徽麦兰生物化学有限公司
'an'hui'mei'ke'da'nong'hua'you'xian'gong'si 安徽美科达农化有限公司
'an'hui'qi'jia'ri'hua'you'xian'ze'ren'gong'si 安徽琪嘉日化有限责任公司
'an'hui'quan'li'ji'tuan'you'xian'gong'si 安徽全力集团有限公司
