'a'luo'jin 阿罗津
'a'te'la'jin 阿特拉津
'ai'chu 艾锄
'ai'fu'ding 爱福丁
'ai'jian'su 矮健素
'ai'ka'shi 爱卡士
'ai'nuo'ming'xing 爱诺明星
'ai'nuo'rui'ding 爱诺瑞丁
'ai'shi'ji 艾氏剂
'ai'zhuang'su 矮壮素
'an'bai'mu 安百亩
'an'bing'wei 胺丙畏
'an'cao'zuo 胺草唑
'an'da 安打
'an'guo 安果
'an'huang'ling 安磺灵
'an'huang'tong 胺磺铜
'an'ju'zhi 胺菊酯
'an'ke 安克
'an'tuo 安妥
'an'zhong'ning 安种宁
'ba'du'lin 巴毒磷
'ba'jia'lin 八甲磷
'bai'cao'an 稗草胺
'bai'cao'wei 稗草畏
'bai'jiang'jun 白僵菌
'bai'jun'qing 百菌清
'bai'liao'ling 稗蓼灵
'bai'sha'qing 稗莎清
'bai'shu'de 百树得
'bai'zhi'lin 百治磷
'ban'ye'su 半叶素
'ban'zhong'an 拌种胺
'ban'zhong'ge 拌种咯
'ban'zhong'ling 拌种灵
'bao'lv'su 保绿素
'bao'mi'lin 保米磷
'bao'mian'feng 保棉丰
'bao'shou 宝收
'bao'song'sai 保松噻
'bao'xian'zhi 保鲜酯
'bao'xing 苞兴
'bao'you'que 保幼炔
'bei'ji'xing 北极星
'bei'jia'jing 倍加净
'bei'liu'lin 倍硫磷
'bei'luo'sha 贝螺杀
'ben'an'ling 苯胺灵
'ben'cao'mi 苯草醚
'ben'cao'mie 苯草灭
'ben'ding'xi 苯丁锡
'ben'huang'long 苯黄隆
'ben'jing'lin 苯腈磷
'ben'jun'ling 苯菌灵
'ben'liu'ling 苯硫灵
'ben'man'mi 苯螨醚
'ben'man'te 苯螨特
'ben'sai'long 苯噻隆
'ben'shuang'ling 苯霜灵
'ben'xiu'ding 苯锈啶
'beng'chu 甭锄
'bi'cao'an 吡草胺
'bi'cao'tong 吡草酮
'bi'chong'lin 吡虫啉
'bi'jiu 比久
'bi'man'an 吡螨胺
'bi'mi'lin 吡嘧磷
'bi'wen'an 避蚊胺
'bi'wen'tong 避蚊酮
'bi'wen'you 避蚊油
'bi'yang'lin 彼氧磷
'bi'zuo'te 吡唑特
'bi'zuo'wei 吡唑威
'bian'cao'an 苄草胺
'bian'cao'dan 苄草丹
'bian'cao'zuo 苄草唑
'bian'di'ke 遍地克
'bian'ju'zhi 苄菊酯
'bian'tai'mi 苄酞醚
'biao'ma 骠马
'biao'nong 骠农
'biao'xing 骠星
'bing'chong'lin 丙虫磷
'bing'hua'ling 病花灵
'bing'huan'zuo 丙环唑
'bing'jing 丙净
'bing'liu'lin 丙硫磷
'bing'man'qing 丙螨氰
'bing'xi'jing 丙烯腈
'bing'xian'lin 丙线磷
'bing'xiu'lin 丙溴磷
'bo'le 伯乐
'bo'tu'long 播土隆
'bu'kuo 捕阔
'bu'mie'shu 捕灭鼠
'bu'yu'te 不育特
'cai'cao'tong 菜草通
'cai'xi 菜喜
'can'sha'wei 残杀威
'cao'an'lin 草胺膦
'cao'beng 草崩
'cao'bi'si 草必斯
'cao'bu'long 草不隆
'cao'bu'nao 草不闹
'cao'chou 草愁
'cao'da'jin 草达津
'cao'er 草尔
'cao'fa 草伐
'cao'fu'ta 草服它
'cao'gan'lin 草甘膦
'cao'ji 草忌
'cao'ju 草惧
'cao'ke'si 草克死
'cao'ke'xing 草克星
'cao'ku'mi 草枯醚
'cao'ku'te 草枯特
'cao'li'jing 草立净
'cao'ling 草灵
'cao'liu'lin 草硫磷
'cao'mie'ping 草灭平
'cao'mie'xing 草灭星
'cao'quan'jing 草全净
'cao'sha'an 草杀安
'cao'si'jing 草斯净
'cao'tong'ling 草通灵
'cao'wan'long 草完隆
'cao'wei'jia'an'lin 草威甲胺磷
'cao'wei'si 草畏斯
'cao'wei'te 草威特
'cao'ya'ping 草芽平
'cao'you 草悠
'cao'zang 草葬
'chang'qing'hao 长青号
'chao'wei 超畏
'chen'ku'shen'su 臣苦参素
'chi'mei'su 赤霉素
'chong'man'ke 虫螨克
'chong'man'lin 虫螨磷
'chong'man'wei 虫螨畏
'chong'si'jing 虫死净
'chu'an'lin 畜安磷
'chu'cao'dan 除草丹
'chu'cao'jia 除草佳
'chu'cao'mi 除草醚
'chu'cao'tong 除草通
'chu'chong'niao 除虫脲
'chu'chong'wei 畜虫威
'chu'chong'wei 除虫威
'chu'hai'lin 除害磷
'chu'he'neng 除禾能
'chu'jin 除尽
'chu'pi'lin 畜蜱磷
'chu'san'cai 除三菜
'chu'san'leng 除三棱
'chu'xian'lin 除线磷
'chu'xian'te 除线特
'chu'xian'wei 除线威
'chu'ying'wei 除蝇威
'chun'duo'duo 春多多
'chun'lei'yang'lv'tong 春雷氧氯铜
'chun'yi 春意
'cu'ding'wei 促丁威
'cu'sheng'zhi 促生酯
'cu'suan'nie 醋酸镍
'cu'ye'huang 促叶黄
'da'cao'te 哒草特
'da'gong 大功
'da'jun'qing 哒菌清
'da'long 大隆
'da'tian'long 大田隆
'da'you'tong 哒幼酮
'dai'long'lin 代垅磷
'dai'sen'an 代森铵
'dai'sen'huan 代森环
'dai'sen'lian 代森联
'dai'sen'liu 代森硫
'dai'sen'meng 代森锰
'dai'sen'meng'xin 代森锰锌
'dai'sen'na 代森钠
'dai'sen'xin 代森锌
'dan'jia'mi 单甲脒
'dao'bai'qing 稻稗清
'dao'cao'long 稻草龙
'dao'cao'mie 稻草灭
'dao'chu 刀锄
'dao'feng'ning 稻丰宁
'dao'feng'san 稻丰散
'dao'he'jing 稻禾净
'dao'ji 稻吉
'dao'jiao'qing 稻脚青
'dao'le'si 稻乐思
'dao'nie'huan 稻蘖欢
'dao'wen'chun 稻瘟醇
'dao'wen'jing 稻瘟净
'dao'wen'qing 稻瘟清
'di'an'lin 地安磷
'di'bai 敌稗
'di'bai'chong 敌百虫
'di'bao 敌宝
'di'cao'jing 敌草净
'di'cao'jing 敌草腈
'di'cao'kuai 敌草快
'di'cao'long 敌草隆
'di'cao'si 敌草死
'di'chong'lin 地虫磷
'di'di'di 滴滴滴
'di'di'gai 敌敌钙
'di'di'lin 敌敌磷
'di'di'ti 滴滴涕
'di'di'wei 敌敌畏
'di'e'lin 敌恶磷
'di'hai'shu 敌害鼠
'di'huang'na 敌磺钠
'di'jun'dan 敌菌丹
'di'jun'ling 敌菌灵
'di'jun'wei 敌菌威
'di'ke'cao 敌克草
'di'ke'song 敌克松
'di'ku'shuang 敌枯双
'di'kuai'er 地快尔
'di'le'fen 地乐酚
'di'le'ling 地乐灵
'di'le'shi 地乐施
'di'le'zhi 地乐酯
'di'li'tuo 敌力脱
'di'mai'wei 地麦威
'di'man'dan 敌螨丹
'di'man'si 敌螨死
'di'mao'san 地茂散
'di'mie'sheng 敌灭生
'di'ming'qiang 敌螟强
'di'san'lin 地散磷
'di'sha'si 敌杀死
'di'shi'ji 狄氏剂
'di'shu 敌鼠
'di'xian'zhi 敌线酯
'di'xiu'na 敌锈钠
'di'xiu'suan 敌锈酸
'di'ying'wei 敌蝇威
'dian'liu'lin 碘硫磷
'die'dan'jing 叠氮净
'ding'ban'wo 啶斑肟
'ding'cao'an 丁草胺
'ding'cao'te 丁草特
'ding'chong'long 定虫隆
'ding'chong'mi 啶虫脒
'ding'jun'qing 定菌情
'ding'sai'long 丁噻隆
'ding'tong'wei 丁酮威
'ding'wo'xi 丁蜗锡
'ding'zhi'lin 丁酯磷
'dong'bei'tong 东北通
'dong'bo'long 冬播隆
'dou'cao'chu 豆草除
'dou'cao'ling 豆草灵
'dou'cao'te 豆草特
'dou'cao'te'hao 豆草特号
'dou'chu 豆锄
'dou'da'wei 豆大卫
'dou'de'li 豆得利
'dou'di 豆地
'dou'duo 豆多
'dou'er 都尔
'dou'er'su'shou 都尔速收
'dou'gong 豆功
'dou'huang'long 豆磺隆
'dou'jin 斗金
'dou'kui 豆魁
'dou'lai'fu 豆来福
'dou'le'pei 都乐培
'dou'qi 豆奇
'dou'qing'liang 豆青亮
'dou'shi'le 豆施乐
'dou'shuai 豆帅
'dou'shuo'hao 豆说好
'dou'si 豆斯
'dou'wei 豆维
'dou'xing 豆星
'dou'yan 豆颜
'dou'you 豆友
'du'cao'an 毒草安
'du'chong'wei 毒虫威
'du'er 杜尔
'du'jing 杜净
'du'jun'fen 毒菌酚
'du'jun'xi 毒菌锡
'du'pang'ding 毒旁定
'du'rang'lin 毒壤磷
'du'sha'fen 毒杀芬
'du'shu'gui 毒鼠硅
'du'shu'jian 毒鼠碱
'du'shu'lin 毒鼠磷
'du'shu'qiang 毒鼠强
'du'si'ben 毒丝本
'du'si'pi 毒死蜱
'du'xiao'lin 独效磷
'dui'liu'lin 对硫磷
'dui'yang'lin 对氧磷
'duo'guo'ding 多果定
'duo'jun'ling 多菌灵
'duo'lai'bao 多来宝
'duo'le 多乐
'duo'sai'wan 多噻烷
'duo'sha'wei 多杀威
'duo'xiao'zuo 多效唑
'e'cao'mi 恶草醚
'e'chong'tong 恶虫酮
'e'chong'wei 恶虫威
'e'jiao 阿胶
'e'ying'jing 蛾蝇腈
'er'ben'an 二苯胺
'er'qin'lin 二嗪磷
'er'sai'nong 二噻农
'er'xiao'fen 二硝酚
'er'xiao'san 二硝散
'er'xiao'zhi 二硝酯
'er'xiu'lin 二溴磷
'er'xiu'lv'bing'wan 二溴氯丙烷
'er'xiu'yi'wan 二溴乙烷
'er'yang'wei 二氧威
'fa'cao'ke 伐草克
'fa'chong'mi 伐虫脒
'fa'guo 发果
'fa'mie'lin 伐灭磷
'fang'mei'an 防霉胺
'fei'cao'long 非草隆
'fei'chu 飞锄
'fei'da 飞达
'fei'da'hong 飞达红
'fei'da'hong'hao 飞达红号
'fei'kun 菲醌
'fen'liu'lin 芬硫磷
'fen'liu'sha 酚硫杀
'fen'xiu'ning 粉锈宁
'fen'zuo'chun 粉唑醇
'feng'ban'lin 砜拌磷
'feng'bing'lin 丰丙磷
'feng'chu 封锄
'feng'di'da 封地达
'feng'di'long 封地隆
'feng'dou'jie 封豆洁
'feng'shan'gai'cao'ling 丰山盖草灵
'fu'bi'qing 腐必清
'fu'cao'an 伏草胺
'fu'cao'huang 呋草黄
'fu'cao'jing 氟草净
'fu'chong'an 氟虫胺
'fu'chong'jing 氟虫腈
'fu'chong'long 伏虫隆
'fu'chong'niao 氟虫脲
'fu'dai'xin 福代锌
'fu'ding'an 氟啶胺
'fu'fu'chong'niao 氟伏虫脲
'fu'gui'zuo 氟硅唑
'fu'jie'an 氟节胺
'fu'jie'an 氟蚧胺
'fu'jun'an 呋菌胺
'fu'jun'long 肤菌隆
'fu'lang 福朗
'fu'ling 拂菱
'fu'liu'long 氟硫隆
'fu'long 福龙
'fu'lv'qing'ju'zhi 氟氯氰菊酯
'fu'man'an 氟螨胺
'fu'man'niao 氟满脲
'fu'mei'an 福美铵
'fu'mei'li 腐霉利
'fu'mei'nie 福美镍
'fu'mei'shen 福美胂
'fu'mei'shuang 福美双
'fu'mei'tie 福美铁
'fu'mei'xin 福美锌
'fu'mi'zuo 呋醚唑
'fu'mi'zuo 氟醚唑
'fu'shu'ding 氟鼠定
'fu'tai'nong 福太农
'fu'xian'an 呋酰胺
'fu'xian'an 氟酰胺
'fu'xian'wei 呋线威
'fu'yi 富意
'fu'yi'ling 伏蚁灵
'fu'yi'zong 伏蚁腙
'fu'zi 富滋
'gai'chong'san 盖虫散
'gai'jie 盖杰
'gai'mao 盖冒
'gao'bei'de 高倍得
'gao'bei'te 高倍特
'gao'xiao'gai'cao'neng 高效盖草能
'ge'dou'cao 割豆草
'ge'kui'tong 咯喹酮
'ge'man'zhi 格螨酯
'gen'chu 根除
'gen'qing 根清
'geng'cao'li 庚草利
'geng'xi'lin 庚烯磷
'gong'fu 功夫
'gong'zhi'ji 汞制剂
'gua'ju'zhi 瓜菊酯
'guang'chu 广锄
'guang'mie'jing 广灭净
'guang'mie'ling 广灭灵
'gui'bai'ling 硅白灵
'guo'chong'lin 果虫磷
'guo'er 果尔
'guo'feng'ding 果丰定
'guo'lv'ding 果绿定
'guo'man'lin 果满磷
'hai'ji'mie 害极灭
'hai'pu'wei 害扑威
'hai'zao'su 海藻素
'han'cao'gai 旱草盖
'han'cao'ku 旱草枯
'han'you'ding 旱莠定
'hao'lai'shi 好来施
'hao'li'da 好立达
'hao'shou'cheng 好收成
'hao'yi'jing 好易净
'he'ai'shi 禾爱施
'he'bai'ling 禾拜灵
'he'ben'dou'hao 禾本豆好
'he'cao'dan 禾草丹
'he'cao'ke 禾草克
'he'cao'qing 禾草清
'he'cao'te 禾草特
'he'cao'wei 禾草畏
